message,label
i had my morn ritual then some work then a short walk then some more work then lunch and so on,procrastination
i had it all plan out in detail,procrastination
ani time manag guru would have been proud of me,procrastination
here s what happen despit all of that more often than not i just couldn t get myself to do what i had so beautifulli plan,procrastination
i wantedto follow through with my morn ritual,procrastination
i wantedto follow through with tackl the most challeng task of the dai first eat that frog right,procrastination
i wantedto follow through with go on a walk after the first work period,procrastination
i just couldn t get myself to do it,procrastination
the resist the neg emot associ with certain task wa just too much to handl and i procrastin,procrastination
it wasn t a time manag issu it wa an emot manag issu,procrastination
i procrastin becaus i couldn t deal with the neg emot not becaus i wa suffer from bad time manag,procrastination
if you let your monkei run the show time manag will not be enough,procrastination
you can have the best time manag skill in the world and still suffer from a crazi and crippl amount of procrastin,procrastination
with that be said good time manag can of cours be veryhelp,procrastination
so while time manag isn t a complet solut and not the primari focu of thi guid it s still a necessari part of the solut,procrastination
inthi chapter we ll discuss three basic time manag strategi,procrastination
if you get these down you ll benefit greatli from improv clariti and product,procrastination
you ll procrastin less and you ll be well posit to us the other procrastin tactic becaus you re now oper from a solid time manag foundat,procrastination
onward try thi schedul schedul scheduleher s the first rule of time manag what get schedul get done,procrastination
what doesn t get schedul doesn t get done,procrastination
you probabl have a to do list either on paper or in your head with the thing you d like to get done todai tomorrow or sometim in the more distant futur,procrastination
and while have a list is great it s onli the first step,procrastination
the real magic happen when you start schedul exactli whenyou re go to do the thing on your list,procrastination
you see unless you take what s on your list and put it on the calendar it s not real,procrastination
it s just an idea on a piec of paper,procrastination
someth that might get done,procrastination
but the moment you schedul it it becom real which is probabl why we re so resist to the idea of schedul in the first place,procrastination
on thing i tend to procrastin on is go to the hairdress,procrastination
for dai and week i know i should go and have the idea swirl around in my head,procrastination
sometim i even write it down on my to do list,procrastination
but until i schedul an exact time and date you can be sure that i keep further delai it todai i have so muchenergi,procrastination
i shouldn t wast it,procrastination
the weather is too beauti,procrastination
i should do someth outsid,procrastination
it s not that bad yet,procrastination
i can wait anoth week,procrastination
onc you schedul someth you immedi short circuital the ration and excus hold you back,procrastination
a few year ago i came across a great studi illustr the power of schedul thing,procrastination
drug addict were ask to write a r sum beforef p,procrastination
that dai,procrastination
thei were encourag to do so becaus it might help them find work after leav rehab,procrastination
on group of addict wa told to clearli defin when and where thei would write the r sum,procrastination
the other half were mere told to write their r sum at a time and place of their choos,procrastination
on group had to schedul it and the other didn t,procrastination
the result at five p,procrastination
eight of the addict who clearli defin when and where thei would write the r sum had actual written it,procrastination
of the addict who didn t schedul none of them had written it,procrastination
it s a simpl but power truth worth rememb what get schedul get done,procrastination
what doesn t get schedul doesn t get done,procrastination
if you want to procrastin less get in the habit of us a calendar and transfer item on your list onto that calendar,procrastination
try thi start your dai on fireha the follow scenario ever happen to you your alarm clock wake you up wai too earli in the morn,procrastination
you re still dead tire and you hit the snooz button a bunch of time,procrastination
when you final manag to crawl out of bed you alreadi feel like a loser becaus you got up late,procrastination
you rush through your morn ritual but skip certain part becaus you simpli don t have the time,procrastination
you then rush to work and eat a bagel on your wai there,procrastination
you arriv late feel exhaust tire and stress out,procrastination
you have no idea what your most import task ar don t feel like find out and decid to checkyouremail facebook and read some new instead,procrastination
befor you know it minut have pass and you haven t gotten anyth done yet,procrastination
you start feel guilti,procrastination
worst of all you still don t feel like work on import project,procrastination
what the hell just happen the dai ha bare even start and you re alreadi bath in a soup of guilt stress disappoint and other neg emot,procrastination
now rememb why we procrastin to run awai from neg emot,procrastination
guess what happen when you start your dai like that exactli,procrastination
you ll want to run awai from those pain feel,procrastination
you ll distract yourself you ll feel even guiltier and you ll basic procrastin all dai long,procrastination
onc you re in that procrastin lazi distract negativitymod it s hard to get out again,procrastination
thi is newton s law of inertia all over again an object in motion stai in motion an object at rest stai at rest,procrastination
onc you re dillyd you tend to keep do it all dai long,procrastination
and becaus you re feel guilti disappoint and asham for not be product actual do someth worthwhil becom almost imposs,procrastination
basic your monkei is now run the show,procrastination
you see the first few hour of the dai ar of incred import,procrastination
if you mess them up chanc ar you re screw for the entir dai,procrastination
you ve got so much neg momentum go on that it s highli unlik you ll be abl to turn thing around,procrastination
thankfulli thi work both wai,procrastination
if you domin the first fewhour of the dai you re well on your wai to a highli product dai with veri littl procrastin,procrastination
onc you re be product and disciplin you tend to stai product and disciplin,procrastination
you re build posit momentum,procrastination
you re get thing done ar make progress andfeel good about yourself mayb even a littl proud,procrastination
all those posit emot fuel your motiv and keep you buzz all dai long,procrastination
i can t stress thi enough if you want to procrastin less you need to begin your dai onfir,procrastination
you need to get out of bed immedi after wake up,procrastination
you need to patient complet your morn ritual eat a healthi breakfast and start work on import and meaning task at work,procrastination
no goof off,procrastination
no warm up,procrastination
no procrastin earlyin the dai,procrastination
and now the million dollar question how can you make sure you don t mess up those crucial first few hour of the dai it s actual quit simpl,procrastination
you need to plan your dai the night befor,procrastination
you need to know exactli what you re go to do inthos first few hour,procrastination
you need a clear step by step script that you can follow without have to think,procrastination
thi is what the last time manag tip is all about,procrastination
try thi plan your dai the night beforeplan your dai the night befor is crucial for a number of reason,procrastination
first of all know exactli what you re go to do in the morn allow you to hit the groundrun,procrastination
thi give you the opportun to make progress feel good about yourself and gener that all import posit momentum,procrastination
plan your dai the night befor is almost a guarante that you ll get into action mode earli in the dai,procrastination
and onc you re in that action mode be product and disciplin you tend to stai in it all dai long,procrastination
plan also help elimin ani moment of hmm what should i do now it s dure these moment that we re most vulner to procrastin,procrastination
instead of figur out the most import task which is uncomfort and therefor bring out the monkei we tend to do what s conveni and urgent,procrastination
or even wors we just wast our time on facebook,procrastination
with that be said let s briefli talk about how to plan your dai,procrastination
to begin with creat a list of all the activ you must and want to incorpor intoth follow dai,procrastination
thi list includ fix appoint likework doctor s appoint or meet and high valu activ likeimport project medit exercis orread,procrastination
onc you have your list of activ simpli drag and drop them into your calendar,procrastination
first add the fixedappoint,procrastination
then add your high valu activ around the fix appoint,procrastination
person i tend toonli plan my morn in detail while leav the rest of the dai open and flexibl,procrastination
todai s plan look like thi,procrastination
exercis,procrastination
cold shower,procrastination
medit,procrastination
write some of thi book,procrastination
take a walk outsid as a break,procrastination
keep write on thi book,procrastination
that s it,procrastination
that wa my entir plan,procrastination
it took me second to creat and ensur that i start my dai on fire while buildingthat all import posit momentum,procrastination
chapter summari take divid on same page the idea while time manag isn t a complet solut to procrastin it s still a veri help tool and a necessari foundat to build upon,procrastination
thetacticsschedul schedul schedul,procrastination
what get schedul get done,procrastination
get in the habit of move task from your to do list to your calendar,procrastination
when exactli ar you go to get someth done if you don t current us a calendar i highli suggest start now,procrastination
start your dai on fire,procrastination
be as disciplin and product in the earli morn as you possibl canb,procrastination
no time wast,procrastination
no dillyd,procrastination
no goof off,procrastination
follow your plan whether you feel like it or not creat that all import momentum and rememb onc you re in action mode you ll tend to stai in it all dai long,procrastination
plan your dai the night befor,procrastination
get in the habit of creat a step by step outlin for the next dai at least for the first few hour,procrastination
you should be abl to go through the earli morninghour without have to think much the magic of a simpl plan how to program your unconsci mind to automat procrastin lesswouldn t it be great if you could program yourself to act in ani wai you like in the futur if you could just write a code for behavior and then automat find yourself follow that code if you could plan todai how you would act tomorrow well good new you can do exactli that with the us of implement intent which we ve briefli discuss in chapter two,procrastination
as you mai recal implement intent ar if then plan that predetermin how you will act in a specif futur situat,procrastination
thei look like thi if happen then i will do,procrastination
you ar link a cue the if part with a desir behavior the then part,procrastination
as soon as i wake up i llimmedi get out of bed,procrastination
if i m done eat then i llimmedi wash all the dish and clean the kitchen,procrastination
you decid nowhow you re go to act in the futur,procrastination
thi allow you to make decis from a place of calm and ration,procrastination
you get to ask yourself what would be the best wai to act if such and such happen what would i like to do if such and such happen what would i like to do after finish xyz implement intentionsmaysound too simplisticto be effect but thei re actual on of modern psycholog smost studi and proven methodsto posit chang peopl s behavior,procrastination
in the remaind of thi chapter we ll discuss why implement intent work and look at some of the scientif proof of their effect,procrastination
at the end you ll creat your person implement intent with the help of my exampl,procrastination
why do implement intent work so well it s fascin what happen in our brain when we re form these implement intent,procrastination
first a link is be creat between the cue and the desir behavior,procrastination
if you wantedto go to the gym after come home from work you d creat the follow plan as soon as i come home from work i llhead to the gym,procrastination
in thi case thecu come home from work would belink with the behavior head to the gym,procrastination
next the cue becom heavili activ in your brain,procrastination
thi mean that the cue is justdi to get notic,procrastination
it s kind of like the school kid rais itshand in excit and try to get the teacher s attent,procrastination
without ani consciou effort or awar of your own your brain is now constantli scan the environ in search of that cue e,procrastination
come home from work,procrastination
onc your brain detect the cue the real magic start happen,procrastination
becaus cue and behavior havealreadi been link your brain automat execut your predetermin plan,procrastination
you ll find yourself pack your stuff and head to the gym whether you re awar of it or not,procrastination
your unconsci mind simpli take over and execut your plan on your behalf,procrastination
sometim you realiz what s happen and sometim you don t,procrastination
either wai you ll find yourself do the right thing,procrastination
that s realli the beauti and eleg of thi intervent that most of it happen below your level of consciou awar,procrastination
you can be busi do other thing while your brain is scan the environ for you detect cue and guid behavior,procrastination
some peopl refer to implement intent as instant habit becaus of their automat and unconsci natur,procrastination
and just like real habit implement intent not onli unconsci and automat guid your behavior thei also impact your willpow in desir wai,procrastination
for starter theyconserv your willpow becaus you re not requir to make consciou decis when their habitu naturetak over,procrastination
preserv willpow mean there will be more left in thetank to veto the monkei to fight temptat and get donewhat need to get done,procrastination
in addit to that you re also abl to better overcom bout of low willpow,procrastination
when you automat do the right thing it doesn t matter if your willpow is deplet or not,procrastination
if you re confus about the willpow thing don t get hung up,procrastination
we ll discuss it in detail in chapter,procrastination
so that s why implement intent work in theori,procrastination
now let s see the proof,procrastination
the proof is in the puddingbeliev it or not implement intent have been proven effect in chang peopl s behavior in over studi,procrastination
thei ve been shown to help peopl lose weight quit smoke eat healthier drive more carefulli and more,procrastination
on studyask student befor christma break if thei want to particip in an experi of how peopl spend their holidai,procrastination
student who agre were instruct to write an essai describ how thei spent their christma which had to be mail in within two dai of christma ev,procrastination
half of the particip were given anoth instruct to decid when and where thei were go to write their essai,procrastination
in other word thei were told to creat an implement intent,procrastination
the result speak for themselv,procrastination
two dai after christma of student who predetermin when and where to write the essai had sent it in compar to just of student who didn t creat implement intent,procrastination
think about that,procrastination
take second to creat a simpl if then plan more than doubledth success rate of student,procrastination
anoth studi look at tenthgrad on summer break,procrastination
thei all had the goal of studi for their upcom psat test in fall,procrastination
in mai the research gave student a book with psat practic test and told them thei would collect the book again in septemb when thei return to school,procrastination
on group of student wa also ask to decid when and where thei would work on the practic problem over the summer month e,procrastination
mondai throughthursdai after breakfast in my room,procrastination
the student did not get a singl remind from the research over the summer,procrastination
after collect the book from the student in septemb the differ between the planner and non plannerswa drastic,procrastination
while non plannerscomplet an averag of problem plannerscomplet a stagger problem,procrastination
again perform more than doubl all from on intent that took less than a few minutesto creat,procrastination
anoth experimentwa design to help peopl quit smoke through the us of implement intent,procrastination
the result planner smoke significantli fewer cigarett than non plannersov a period of two month,procrastination
more importantli of planner quit smoke complet as compar to onli of non planner,procrastination
it doesn t matter what you re try to accomplish implement intent will increas your chanc of succeed significantli,procrastination
heidi grant halvorson an expert on the scienc of goal achiev sum up the benefit of implement intent perfectli in her book succe gollwitz and hi colleagu paschal sheeran recent review the result from nineti four studi that measur the effect of if then plan and found significantli higher rate of goal attainmentforjust about everi goal you can think of us public transport more frequent bui organ food help other drive more carefulli not drink not start smoke rememb to recycl follow through on new year s resolut negoti fairli avoid stereotyp and prejudici thought do mathproblem,procrastination
you name the goal and these simpl plan will help you reach it,procrastination
she add plan when where and how you will take the action need to reach your goal is probabl the singl most effect thing you can do to increas yourchanc of success,procrastination
implement intent ar an incred power and flexibl tool to add to your arsen,procrastination
let s look at some practic applic for help youwin the procrastin battl,procrastination
try thi set some implement intentionstak a few minut to think about your own procrastin habit,procrastination
what task do you tend to procrastin on when ar you most prone to procrastin what activ would you like to engag in more often what new habit would you like to build as you re think about procrastin in your own life you ll realiz there ar lot of possibl for us implement intent,procrastination
write down some if then plan for your best idea and repeat them out loud or in your head a coupl of time,procrastination
and don t worri about keep your plan in the specif if then formula,procrastination
as long as you re link a cue with a desir behavior you re readi to rock it,procrastination
below ar some specif exampl you can copi modifi or us as inspir,procrastination
thei ar design to help you overcom mani procrastin relat problem such as not get start resist temptat overcom time of low willpow and so on,procrastination
if i feel overwhelm by a larg project then i can break it down into small action step and get start on stepon,procrastination
if i get bore dure studi then i llignor it and just keep go,procrastination
if i get discourag dure write then i llignor it and just keep go,procrastination
if i feel like hit the snooz button then i llimmedi get out of bed,procrastination
if i feel like delai an import task then i llimmedi get start on a small aspect of the task,procrastination
saturdai after breakfast i llstart studi for my upcom exam,procrastination
if i find myself make excus such as i m too tire or i ll feel more like it tomorrow or i work better under pressur then i lljust ignor them and get start on a small aspect of the task,procrastination
if i feel like watch tv then i llignor it and keep work,procrastination
as soon asi get home after work i llimmedi prepar a healthi dinner,procrastination
whenit s time to go to bed i llwrite in my gratitud journal for five minut,procrastination
carrot stick thei mai be old school,procrastination
but thei work in thi chapter we ll look at the motiv power of carrot reward and stick punish,procrastination
carrot and stick work by influenc the monkei in your brain,procrastination
as you mai recal from chapter on the monkei refer to the part of your brain that oper on a veri basic guid principl approach what feel good the carrot and avoid what feel bad the stick,procrastination
thi part of our brain is stronger in some peopl and weaker in other,procrastination
put differ some peopl ar bless with a rel quiet monkei while other ar curs with a monkei that s total out of control and basic run the show,procrastination
as procrastin we tend to have an out of control monkei,procrastination
we ll talk about long term strategi to tame the monkei and lower it impact on us in chapter,procrastination
the problem with the monkei is that it doesn t care about the futur at all,procrastination
it onli care about what feel good rightthisverymo,procrastination
the ration part of the brain would like to exercis regularli in order to live longer be healthier and have more energi in the futur,procrastination
the ration part would like to medit daili in order to reap huge emot benefit in the futur,procrastination
the ration part would like to finish task on time be product and lai the groundworkfor a success futur,procrastination
the monkei on the other hand couldn t care less about what s good for the futur,procrastination
it doesn t understand futur benefit it s onli interest in immedi gratif,procrastination
so whenev you suggest do someth that s slightli uncomfort or difficult but benefici for the futur the monkei will revolt,procrastination
it will urg you to run awai from what feel bad right nowand towardsometh that feel better right now,procrastination
that in a nutshel is why we procrastin,procrastination
now here s the good new becaus we know the monkei s basic oper principl we can influenc it by us reward carrot and punish stick,procrastination
the goal is to add immedi reward for posit activ and immedi punish for neg activ,procrastination
the more immedi the better,procrastination
instead of wait for the benefit of medit exercis or work we can make them gratifi in the short term,procrastination
instead of wait for the neg effect of procrastin we can makeourselv pai forprocrastin immedi,procrastination
in the remaind of thi chapter we ll discuss three specif idea to put thi knowledg into practic,procrastination
try thi promis yourself a rewardif you promis yourself a million dollar for finish your work project by fridai chanc ar you ll get it done by fridai if not earlier,procrastination
lucki for us smaller reward do the trick as well,procrastination
as an exampl you can promis yourself a delici protein smoothi after exercis,procrastination
you can promis yourself you ll go on a shop spreeafter finish a work project,procrastination
or you canpromis yourself you ll watch some tv after do your homework,procrastination
the kei to effect reward is to make them as immedi as possibl,procrastination
it s best if thei happen right after the desir behavior such asa protein shake and a cookieaft exercis watch an episod of game of thronesaft medit or dillyd on facebook after studi,procrastination
if you have a long project you re work on it s best to promis yourself multipl small reward for complet mileston andon bigger reward for complet the entir project,procrastination
by associ avers task with reward you infus them with some posit emot make them less appal and more attract for the monkei,procrastination
thi mean less resist and ultim less procrastin for you,procrastination
try thi bundl temptationswhil the previou strategi is all about reward yourself afterdo someth temptat bundl is all about reward yourself whiley re do it,procrastination
temptat bundl mean combin a temptat someth that feel good with someth you tend to procrastin on,procrastination
you re bundl a behavior you should do with a behavior you feel tempt to do,procrastination
thi add immedi gratif to avers task basic allow the monkei to be a lot less reluct about them,procrastination
kati milkman the inventor of thi strategi came up with thi ideadu to her own need,procrastination
here she talk about her struggl with procrastin and how temptat bundl help her get a handl on it what i realiz is that if i onli allow myself to watch my favorit tv show while exercis at the gym then i d stop wast time at home on useless televis and i d start crave trip to the gym at the end of a long dai becaus i d want to find out what happen next in my show,procrastination
and not onli that i d actual enjoi my workout and my show more combin,procrastination
i wouldn t feel guilti watch tv and time would fly while i wa at the gym,procrastination
so when i talk about temptat bundl i mean combin a temptat someth like a tv show a guilti pleasur someth that will pull you into engag in a behavior with someth you know you should do but might struggl to do,procrastination
if you want to procrastin less choos a task you tend to delai and bundl it with on of your guilti pleasur,procrastination
some common idea ar towatch tv whiley re eat a healthi meal listen to audiobook while you re exercis watch your favorit tv show while iron ordo other household chore or drink a cappuccino while work,procrastination
if you want you can go a step further and onlyindulg in the temptat when also engag in the posit behavior,procrastination
that would look as follow,procrastination
onlywatch tv while eat a healthi meal,procrastination
onlylisten to audiobook while exercis,procrastination
onlywatch your favorit tv show while iron or do other householdchor,procrastination
onlydrink cappuccino while work,procrastination
and of cours you can us temptat for multipl good behavior e,procrastination
onli watch tv when you re eat someth healthi when you re iron when you re stretch or when you re do other household chore,procrastination
the basic idea is to make a dread task a bit more entic,procrastination
when i don t feel like work for exampl i ll sometim allow myself to have anoth cup of coffe some dark chocol or anoth treat,procrastination
thi is often enough for me to break through the initi resist and just get start,procrastination
i m also a regular user of smart drug and will basic tell myself okai i m go to try thi new perform enhanc,procrastination
in return i ll work for anoth hour or two on thi project,procrastination
you re basic negoti with yourself,procrastination
and it work,procrastination
try thi make procrastin payinstead of reward yourself for get someth done carrot thi strategi is all about punish yourself for not get someth done stick,procrastination
thi approach tend to work better becaus of a concept call loss avers peopl s tendenc to prefer avoid loss to acquir equival gain,procrastination
it s better to not lose than to find,procrastination
some research suggest that loss ar twice as powerfula gain,procrastination
here s how thi tactic work you give your buddi,procrastination
if you complet your desir activ by sai p,procrastination
you get your back,procrastination
if you don t you lose the,procrastination
thi is often refer to as a commit contract,procrastination
you commit to do someth complet activ by p,procrastination
and set a penalti for fail to keep your commit lose,procrastination
the penalti can be anyth that creat massiv pain for you huge sum of monei do someth embarrass in public shave your head not go to your favorit festiv and so on,procrastination
the greater the pain you ll have to endur for fail the better it ll work,procrastination
if you us monei make sure you put up the monei beforehand,procrastination
don t sai i ll give it to you when i fail,procrastination
no no no,procrastination
you give the monei beforehand,procrastination
if you want it back get the thing done on time you can creat such agreement with your mother a trust friend or a third parti websit such as stickk,procrastination
whatev option you choos make sure that your refere actual pull the trigger and execut the penalti,procrastination
your mother mai not be the best option,procrastination
as is the case with reward it s best if you make the punish as immedi as possibl,procrastination
if you ve got a long term project don t just set on larg punish in case of miss the deadlin,procrastination
set up punish for miss milestonesa well,procrastination
i m current us a commit contract for finish thi book,procrastination
i ve hand over to my brother jona and will onli get it back when i finish the first draft befor fridai it s now tuesdai,procrastination
updat it didn t work well at all,procrastination
finish the first draft wasn t specif enough there wa no wai for jona to determin whether i d upheld my commit or not,procrastination
and becaus i knew that i never felt ani pressur to work harder than usual,procrastination
lesson learn make sure your commit is highli specif,procrastination
your refere should know without a doubt whether you ve upheld your end of the bargain try thi elimin or complicatehow often would you check instagram if you could onli access it on the roof of your hous less often,procrastination
butyou don t need to go to your roof to access instagram facebook video game tv etc,procrastination
do you the problem is mostdistract ar wai too access,procrastination
thei re literallyavail to us in an instant,procrastination
rememb what we said earlier proxim to temptat is on of the deadliest determin of procrastin,procrastination
if we want to procrastin less we need to make distract less readili access,procrastination
we needto either complet elimin a distract or complic it access,procrastination
the good new is that s not hard to do at all,procrastination
here ar some suggest,procrastination
block distract websit,procrastination
i m talkingaboutfacebook instagram snapchat gag gmail new site and so on,procrastination
you can block them on your laptop or comput us toolssuch as cold turkei,procrastination
thi tool allow you to schedul which websit you want to block and when,procrastination
i person find it veri help,procrastination
you can also block certain websit on your smartphon i us an app call trend micro mobil secur,procrastination
delet distract app on your smartphon,procrastination
i us to spend hour everi dai plai game check facebook or watch youtub video on my phone,procrastination
nowadai distract app aren t even on my phone anymor i just delet them,procrastination
it s radic but it work,procrastination
delet your comput game,procrastination
dure my high school year i wa addict to an onlin game call demigod,procrastination
i spent well over minut plai that game and i can tell you on thing i never procrastin more in my life than dure those year,procrastination
if you re seriou about overcom your procrastin issu ani onlin or comput gamehasto go,procrastination
at least temporarili,procrastination
consid it a form of rehab with the possibl of re introduc some game back into your life at a later point in time,procrastination
sell your nintendo wii xbox playstat etc,procrastination
and if that s too much at least put them somewher you don t see them,procrastination
as you re about to learn in the next tactic out of sight out of mind is a good motto,procrastination
while these strategi aren t bulletproof thei will at least make it a lot harderfor youto give in to temptat,procrastination
instead of open your browser type fa and enter facebook you now have to go into your websit disabl tool and somehowfind a wai toenabl facebookagain,procrastination
the harder you make distract to access the less you ll procrastin,procrastination
try thi mold yourenvironmenty ve probabl heard of primingbefor,procrastination
it statesthat everyth in our environ unconsci trigger anact or behavior in us,procrastination
sexi imag can trigger the urg to have sex,procrastination
the smell of cake can trigger feel of hunger,procrastination
put sweet on someon s desk in a clear rather than opaqu bowl increas snack,procrastination
watch peopl be friendli can make us kinderand more altruist,procrastination
certain thing in your environ can trigger the urg to procrastin while other thing can trigger you to work on your goal and stop put thing off,procrastination
to procrastin less we need to mold our environ so that it trigger us to work more,procrastination
anyth that could trigger our urg to procrastin need to go,procrastination
anyth that could trigger the action of work is welcom and can stai,procrastination
here ar some ideason howto incorpor thi intoyour life,procrastination
declutt your browser,procrastination
everi visibl hotlink or bookmark can trigger unwant goal that distract you from do what need to get done,procrastination
your browser should be as empti as possibl,procrastination
no bookmark bar,procrastination
no other visibl bookmark,procrastination
no visibl hotlink,procrastination
no websit suggest when you open a new tab i us the empti new tab page chrome extens,procrastination
your browser should not have ani visibl trigger at all,procrastination
declutt your desktop,procrastination
same stori,procrastination
quick launch icon and shortcutscan unconsci trigger you to activatego that areneith urgent nor import,procrastination
your desktop should be as clean and simplist as possibl,procrastination
for instanc my desktop is a natur wallpap with on folder that i ve creativelytitl desktop,procrastination
put that phone awai,procrastination
turn it off complet or at least put it in airplan mode rememb the harder you make distract to access the less you ll procrastin,procrastination
and pleas put your phone out of sight somehow,procrastination
if you see it from where you ar work you ll alwai be unconsci prime to have a quick glanc,procrastination
no itwon t be just a minut elimin all notif,procrastination
everi notif on your phone laptop or comput can distract you and trigger the urg to procrastin,procrastination
why do so mani peopl procrastin and how do you overcom it for most peopl procrastin irrespect of what thei sai is not about be lazi,procrastination
in fact when we procrastin we often work intens for long stretch just befor our deadlin,procrastination
work long and hard is the opposit of lazi so that can t be the reason we do it,procrastination
so why do we procrastin and more importantli what can we do about it as suggest abov some sai thei procrastin becaus thei ar lazi,procrastination
other claim thei do better when thei procrastin and work best under pressur,procrastination
i encourag you to be critic and reflect of these explan,procrastination
virtual everyon who sai thi habitu procrastin and ha not complet an import academ task in which thei made a plan implement it had time to review etc,procrastination
befor their deadlin,procrastination
so in realiti thei can t make a comparison about the circumst thei work best under,procrastination
if you pretti much alwai procrastin and never realli approach your task systemat then you can t accur sai that you know you do better under pressur,procrastination
still other peopl sai thei like the rush of leav thing to the end and meet a deadlin,procrastination
but thei usual sai thi when thei ar not work under that deadlin,procrastination
thei sai thi work befor or after cram when thei have forgotten the neg consequ of procrastin such as feel of anxieti and stress fatigu and disappoint from fall below their own standard and have to put their life on hold for chunk of time,procrastination
not to mention leav thing to the end dramat increas the chanc someth will go wrong like get sick or a comput problem and you not be abl to pull off the desir grade,procrastination
so procrastin can be hard on us and actual increas our chanc of fail but we do it anywai,procrastination
how come procrastin is not a matter sole of have poor time manag skill either but rather can be trace to underli and more complex psycholog reason,procrastination
these dynam ar often made wors by school where student ar constantli be evalu and especi in colleg where the pressur for grade is high and a lot can be ride on student perform,procrastination
in realiti procrastin is often a self protect strategi for student,procrastination
for exampl if you procrastin then you alwai have the excus of not have enough time in the event that you fail so your sens of your abil is never threaten,procrastination
when there is so much pressur on get a good grade on sai a paper it s no wonder that student want to avoid it and so put off their work,procrastination
for the most part our reason for delai and avoid ar root in fear and anxieti about do poorli of do too well of lose control of look stupid of have on s sens of self or self concept challeng,procrastination
we avoid do work to avoid our abil be judg,procrastination
and if we happen to succe we feel that much smarter,procrastination
so what can we do to overcom our tendenc to procrastin awar the first step first to overcom procrastin you need to have an understand of the reason why you procrastin and the function procrastin serv in your life,procrastination
you can t come up with an effect solut if you don t realli understand the root of the problem,procrastination
as with most problem awar and self knowledg ar the kei to figur out how to stop procrastin,procrastination
for a lot of peopl acquir thi insight about how procrastin protect them from feel like thei ar not abl enough and keep it in mind when thei ar tempt to fall into familiar unproduct procrastin habit goe a long wai to solv the problem,procrastination
